"X","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
0,118,"House",20301,41,3,"AL",200,NA,NA,"ROGERS, Mike Dennis","R000575",1958,NA,0.379,0.38,-156.79628,0.85447,997,78,NA,0.453,0.351
1,118,"House",21102,41,7,"AL",100,NA,NA,"SEWELL, Terri","S001185",1965,NA,-0.401,0.397,-47.88507,0.95124,958,18,NA,-0.524,0.369
2,118,"House",21500,41,6,"AL",200,NA,NA,"PALMER, Gary James","P000609",1954,NA,0.678,0.114,-83.65844,0.9199,1002,41,NA,0.673,0.143
3,118,"House",22108,41,1,"AL",200,NA,NA,"CARL, Jerry L.","C001054",1958,NA,0.55,0.236,-123.17499,0.88593,1017,56,NA,0.592,0.214
4,118,"House",22140,41,2,"AL",200,NA,NA,"MOORE, Barry","M001212",1966,NA,0.639,-0.244,-93.0781,0.91246,1016,40,NA,0.709,-0.311
5,118,"House",22366,41,5,"AL",200,NA,NA,"STRONG, Dale","S001220",1970,NA,0.619,0.359,-107.15463,0.89953,1012,42,NA,0.619,0.369
6,118,"House",29701,41,4,"AL",200,NA,NA,"ADERHOLT, Robert","A000055",1965,NA,0.405,0.467,-173.39567,0.84037,997,85,NA,0.471,0.233
7,118,"House",22168,81,1,"AK",100,NA,NA,"PELTOLA, Mary Sattler","P000619",1973,NA,-0.137,0.382,-181.53117,0.80184,822,86,NA,-0.136,0.377
8,118,"House",21995,93,0,"AS",200,NA,NA,"RADEWAGEN, Aumua Amata Coleman","R000600",1947,NA,0.325,0.186,-72.83715,0.70217,206,36,NA,0.305,0.116
9,118,"House",20305,61,7,"AZ",100,NA,NA,"GRIJALVA, Raúl M.","G000551",1948,NA,-0.598,-0.264,-34.93076,0.95021,684,15,NA,-0.573,-0.39
10,118,"House",21103,61,9,"AZ",200,NA,NA,"GOSAR, Paul","G000565",1958,NA,0.701,-0.507,-72.8206,0.92673,957,27,NA,0.76,-0.628
11,118,"House",21105,61,1,"AZ",200,NA,NA,"SCHWEIKERT, David","S001183",1962,NA,0.556,-0.23,-273.30532,0.76292,1010,100,NA,0.479,-0.181
12,118,"House",21502,61,3,"AZ",100,NA,NA,"GALLEGO, Ruben","G000574",1979,NA,-0.401,0.139,-128.92228,0.86286,874,51,NA,-0.298,0.337
13,118,"House",21705,61,5,"AZ",200,NA,NA,"BIGGS, Andrew S.","B001302",1958,NA,0.823,-0.568,-108.40092,0.8988,1016,49,NA,0.726,-0.688
